review_id,error_related,sentiment,size,app_id,Total_error_related
644,0,1,44,com.sega.kingdomconquestii,4
643,0,1,44,com.sega.kingdomconquestii,4
642,0,0,44,com.sega.kingdomconquestii,4
641,0,0,44,com.sega.kingdomconquestii,4
640,1,0,44,com.sega.kingdomconquestii,4
2985,0,0,45,com.realcitygames.city.survival,0
2984,0,1,45,com.realcitygames.city.survival,0
2020,0,1,45,com.action.developers.commando.war.gunship.strike,0
2019,0,1,45,com.action.developers.commando.war.gunship.strike,0
2018,0,1,45,com.action.developers.commando.war.gunship.strike,0
2017,0,1,45,com.action.developers.commando.war.gunship.strike,0
2016,0,1,45,com.action.developers.commando.war.gunship.strike,0
2015,0,0,45,com.action.developers.commando.war.gunship.strike,0
2014,0,1,45,com.action.developers.commando.war.gunship.strike,0
2013,0,1,45,com.action.developers.commando.war.gunship.strike,0
2012,0,1,45,com.action.developers.commando.war.gunship.strike,0
2011,0,1,45,com.action.developers.commando.war.gunship.strike,0
2010,0,1,45,com.action.developers.commando.war.gunship.strike,0
2009,0,1,45,com.action.developers.commando.war.gunship.strike,0
2008,0,1,45,com.action.developers.commando.war.gunship.strike,0
2007,0,1,45,com.action.developers.commando.war.gunship.strike,0
2006,0,1,45,com.action.developers.commando.war.gunship.strike,0
2005,0,1,45,com.action.developers.commando.war.gunship.strike,0
2004,0,1,45,com.action.developers.commando.war.gunship.strike,0
2003,0,1,45,com.action.developers.commando.war.gunship.strike,0
2002,0,1,45,com.action.developers.commando.war.gunship.strike,0
2001,0,1,45,com.action.developers.commando.war.gunship.strike,0
2000,0,1,45,com.action.developers.commando.war.gunship.strike,0
1999,0,1,45,com.action.developers.commando.war.gunship.strike,0
1998,0,1,45,com.action.developers.commando.war.gunship.strike,0
1997,0,1,45,com.action.developers.commando.war.gunship.strike,0
1996,0,1,45,com.action.developers.commando.war.gunship.strike,0
1995,0,1,45,com.action.developers.commando.war.gunship.strike,0
1994,0,1,45,com.action.developers.commando.war.gunship.strike,0
1993,0,1,45,com.action.developers.commando.war.gunship.strike,0
1992,0,1,45,com.action.developers.commando.war.gunship.strike,0
1991,0,1,45,com.action.developers.commando.war.gunship.strike,0
1990,0,1,45,com.action.developers.commando.war.gunship.strike,0
1989,0,0,45,com.action.developers.commando.war.gunship.strike,0
1988,0,1,45,com.action.developers.commando.war.gunship.strike,0
1987,0,1,45,com.action.developers.commando.war.gunship.strike,0
1986,0,1,45,com.action.developers.commando.war.gunship.strike,0
1985,0,1,45,com.action.developers.commando.war.gunship.strike,0
1984,0,1,45,com.action.developers.commando.war.gunship.strike,0
1983,0,1,45,com.action.developers.commando.war.gunship.strike,0
1982,0,1,45,com.action.developers.commando.war.gunship.strike,0
1981,0,1,45,com.action.developers.commando.war.gunship.strike,0
814,0,1,45,com.sg.tw.android,0
813,0,0,45,com.sg.tw.android,0
812,0,0,45,com.sg.tw.android,0
811,0,1,45,com.sg.tw.android,0
809,0,1,45,com.sg.tw.android,0
806,0,1,45,com.sg.tw.android,0
803,0,1,45,com.sg.tw.android,0
802,0,0,45,com.sg.tw.android,0
801,0,1,45,com.sg.tw.android,0
800,0,0,45,com.sg.tw.android,0
797,0,0,45,com.sg.tw.android,0
795,0,1,45,com.sg.tw.android,0
3402,0,0,46,com.hunt.snipper.shooting,0
3401,0,1,46,com.hunt.snipper.shooting,0
1760,0,0,46,com.matakukos.notebookWarsFree,9
1759,1,0,46,com.matakukos.notebookWarsFree,9
1758,1,0,46,com.matakukos.notebookWarsFree,9
1757,1,0,46,com.matakukos.notebookWarsFree,9
1756,0,1,46,com.matakukos.notebookWarsFree,9
1755,0,0,46,com.matakukos.notebookWarsFree,9
1754,0,1,46,com.matakukos.notebookWarsFree,9
1753,1,0,46,com.matakukos.notebookWarsFree,9
1752,1,0,46,com.matakukos.notebookWarsFree,9
1751,0,1,46,com.matakukos.notebookWarsFree,9
1750,0,0,46,com.matakukos.notebookWarsFree,9
1749,1,1,46,com.matakukos.notebookWarsFree,9
1748,1,0,46,com.matakukos.notebookWarsFree,9
1747,0,0,46,com.matakukos.notebookWarsFree,9
1746,0,0,46,com.matakukos.notebookWarsFree,9
1745,0,0,46,com.matakukos.notebookWarsFree,9
1744,0,1,46,com.matakukos.notebookWarsFree,9
1743,0,0,46,com.matakukos.notebookWarsFree,9
1742,1,0,46,com.matakukos.notebookWarsFree,9
1741,0,1,46,com.matakukos.notebookWarsFree,9
1740,0,1,46,com.matakukos.notebookWarsFree,9
1739,0,1,46,com.matakukos.notebookWarsFree,9
1738,0,1,46,com.matakukos.notebookWarsFree,9
1737,0,1,46,com.matakukos.notebookWarsFree,9
1736,0,1,46,com.matakukos.notebookWarsFree,9
1735,0,1,46,com.matakukos.notebookWarsFree,9
1734,0,1,46,com.matakukos.notebookWarsFree,9
1733,0,0,46,com.matakukos.notebookWarsFree,9
1732,0,1,46,com.matakukos.notebookWarsFree,9
1731,0,1,46,com.matakukos.notebookWarsFree,9
1730,0,1,46,com.matakukos.notebookWarsFree,9
1729,0,0,46,com.matakukos.notebookWarsFree,9
1728,1,0,46,com.matakukos.notebookWarsFree,9
1727,0,1,46,com.matakukos.notebookWarsFree,9
1641,0,1,46,com.vn.ggplay.wxwzappotagp,0
1640,0,0,46,com.vn.ggplay.wxwzappotagp,0
1639,0,1,46,com.vn.ggplay.wxwzappotagp,0
3424,0,1,47,com.endlesscommando.wargames,0
3423,0,0,47,com.endlesscommando.wargames,0
3422,0,1,47,com.endlesscommando.wargames,0
3420,0,1,47,com.endlesscommando.wargames,0
3419,0,1,47,com.endlesscommando.wargames,0
3418,0,1,47,com.endlesscommando.wargames,0
3417,0,1,47,com.endlesscommando.wargames,0
3416,0,0,47,com.endlesscommando.wargames,0
3415,0,1,47,com.endlesscommando.wargames,0
3414,0,1,47,com.endlesscommando.wargames,0
3413,0,1,47,com.endlesscommando.wargames,0
1292,0,1,47,uk.co.pixelspill.katatak.android,6
1291,0,0,47,uk.co.pixelspill.katatak.android,6
1290,1,0,47,uk.co.pixelspill.katatak.android,6
1289,0,1,47,uk.co.pixelspill.katatak.android,6
1288,0,1,47,uk.co.pixelspill.katatak.android,6
1287,0,1,47,uk.co.pixelspill.katatak.android,6
1286,0,1,47,uk.co.pixelspill.katatak.android,6
1285,0,1,47,uk.co.pixelspill.katatak.android,6
1284,0,0,47,uk.co.pixelspill.katatak.android,6
1283,0,1,47,uk.co.pixelspill.katatak.android,6
1282,0,0,47,uk.co.pixelspill.katatak.android,6
1281,0,1,47,uk.co.pixelspill.katatak.android,6
1280,0,1,47,uk.co.pixelspill.katatak.android,6
1279,0,0,47,uk.co.pixelspill.katatak.android,6
1278,0,0,47,uk.co.pixelspill.katatak.android,6
1277,1,1,47,uk.co.pixelspill.katatak.android,6
1276,0,1,47,uk.co.pixelspill.katatak.android,6
1275,0,0,47,uk.co.pixelspill.katatak.android,6
1274,0,0,47,uk.co.pixelspill.katatak.android,6
1273,0,1,47,uk.co.pixelspill.katatak.android,6
1272,0,1,47,uk.co.pixelspill.katatak.android,6
1271,0,1,47,uk.co.pixelspill.katatak.android,6
1270,0,1,47,uk.co.pixelspill.katatak.android,6
1269,0,0,47,uk.co.pixelspill.katatak.android,6
1268,0,1,47,uk.co.pixelspill.katatak.android,6
1267,0,1,47,uk.co.pixelspill.katatak.android,6
1266,0,1,47,uk.co.pixelspill.katatak.android,6
1265,1,0,47,uk.co.pixelspill.katatak.android,6
1264,0,1,47,uk.co.pixelspill.katatak.android,6
1263,0,1,47,uk.co.pixelspill.katatak.android,6
1262,1,0,47,uk.co.pixelspill.katatak.android,6
1261,0,1,47,uk.co.pixelspill.katatak.android,6
1260,0,1,47,uk.co.pixelspill.katatak.android,6
1259,0,0,47,uk.co.pixelspill.katatak.android,6
1258,0,0,47,uk.co.pixelspill.katatak.android,6
1257,1,0,47,uk.co.pixelspill.katatak.android,6
1256,1,0,47,uk.co.pixelspill.katatak.android,6
1255,0,1,47,uk.co.pixelspill.katatak.android,6
